admNm,admCd,xAxis,yAxis,popCnt,storeCnt,saleAmt
중곡1동,11215740,318919,551333,"2,197",25,5290000
중곡2동,11215750,319044,551274,"1,982",38,8380000
중곡4동,11215770,319746,551151,"1,726",40,"11,450,000"
자양1동,11215820,319098,548427,"1,546",40,"11,300,000"
자양2동,11215830,319268,547792,"4,049",22,9210000
자양3동,11215840,318258,548361,"3,860",55,"20,860,000"
구로3동,11530540,302062,543376,"4,557",99,"23,450,000"
가리봉동,11530595,302329,542728,827,10,7040000
가산동,11545510,302176,542215,"10,997",222,"17,730,000"
독산3동,11545630,303182,542011,"1,752",26,6960000
수궁동,11530790,296866,544166,"3,877",27,"12,770,000"
개봉1동,11530740,298613,544849,"3,489",44,"15,610,000"
오류1동,11530770,298077,544499,"3,083",21,"14,330,000"
오류2동,11530780,297570,543593,"3,754",32,7130000
항동,11530800,296112,542651,"1,089",11,"24,220,000"
독산1동,11545610,302633,541469,"7,823",53,"13,140,000"
독산4동,11545640,303086,541167,"1,258",21,"11,180,000"
시흥3동,11545690,303369,538135,"3,368",13,"36,580,000"
월계1동,11350560,317468,557932,"3,030",40,"18,370,000"
월계3동,11350580,318030,558039,"3,581",17,"11,880,000"
공릉1동,11350595,318433,558454,"5,815",70,"16,660,000"
공릉2동,11350600,318889,558108,"6,172",62,"13,000,000"
하계2동,11350612,317929,559265,"3,135",4,"18,730,000"
하계1동,11350611,318345,560206,"3,320",26,"15,490,000"
중계본동,11350619,319035,561003,"1,615",39,"10,810,000"
중계2.3동,11350625,318009,560384,"3,435",18,"16,260,000"
상계3.4동,11350665,319322,563787,"3,828",19,5860000
이문1동,11230740,317673,555468,"2,278",43,9080000
청량리동,11230705,316053,554204,"2,769",21,"10,210,000"
휘경1동,11230720,317690,554924,"3,065",15,"19,850,000"
회기동,11230710,316773,554699,"2,363",43,"10,690,000"
휘경2동,11230730,317939,554613,"3,001",28,9110000
이문2동,11230750,317646,556086,"1,667",10,9410000
중화2동,11260610,318622,556016,"4,006",33,"14,790,000"
사당2동,11590630,309929,543439,"7,612",49,"18,190,000"
아현동,11440555,307603,549946,"3,695",36,"20,800,000"
공덕동,11440565,308303,550279,"3,803",47,"12,360,000"
염리동,11440610,307028,549949,853,35,"20,240,000"
도화동,11440585,307395,549330,"3,953",43,"18,530,000"
용강동,11440590,306773,549425,"3,054",39,"14,700,000"
신수동,11440630,306096,549969,"2,114",30,"13,380,000"
서강동,11440655,305828,550036,"3,213",87,"10,450,000"
합정동,11440680,304036,550487,"5,365",111,"14,560,000"
상암동,11440740,302564,553470,"11,935",127,"21,360,000"
삼성1동,11680580,317318,546208,"9,373",140,"25,700,000"
반포1동,11650560,312964,545225,"6,328",35,"10,640,000"
신사동,11680510,313819,547312,"9,125",155,"24,460,000"
잠원동,11650540,313036,546320,"7,575",53,"13,890,000"
반포3동,11650580,312285,546004,"4,010",16,"14,720,000"
청담동,11680565,316162,547412,"9,811",122,"19,690,000"
삼성2동,11680590,315853,545874,"6,156",97,"24,330,000"
논현2동,11680531,315085,546556,"8,640",156,"17,400,000"
대치1동,11680600,316788,543871,"4,300",31,"42,780,000"
대치4동,11680630,316890,544589,"3,856",129,"17,120,000"
대치2동,11680610,317453,544870,"9,005",93,"16,440,000"
서초4동,11650531,313742,544953,"7,064",74,"24,780,000"
역삼1동,11680640,314707,544125,"18,164",429,"22,200,000"
역삼2동,11680650,315468,544027,"5,999",93,"17,590,000"
도곡1동,11680655,315152,543615,"7,006",44,"16,390,000"
도곡2동,11680656,315860,542823,"6,478",59,"39,270,000"
압구정동,11680545,314521,548042,"10,398",169,"31,650,000"
개포1동,11680660,316838,542621,"2,055",1,0
개포2동,11680670,317872,543476,"4,961",19,"16,650,000"
개포4동,11680690,316319,542274,"4,171",41,"11,540,000"
일원본동,11680720,319404,542750,"2,793",10,"20,610,000"
일원1동,11680730,319550,543689,"1,491",22,"15,250,000"
일원2동,11680740,318281,543735,"1,870",9,"33,610,000"
수서동,11680750,321047,543347,"8,944",42,"18,340,000"
세곡동,11680700,321192,541142,"5,691",44,"18,960,000"
논현1동,11680521,314312,545922,"6,175",132,"17,080,000"
천호3동,11740620,323292,549002,"1,468",39,"15,370,000"
구의3동,11215870,320457,548915,"6,446",55,"12,270,000"
성내3동,11740660,323552,547446,"3,308",69,"12,770,000"
둔촌2동,11740700,324360,548249,"3,243",42,"12,940,000"
풍납2동,11710520,322130,547760,"4,467",18,"11,650,000"
천호1동,11740600,323917,549549,"1,730",24,"14,080,000"
성내2동,11740650,323263,548158,"5,585",42,8840000
성내1동,11740640,322635,547947,"2,170",66,"11,960,000"
명일2동,11740540,325204,549686,"2,655",33,"25,310,000"
길동,11740685,324742,548898,"3,890",78,"11,480,000"
풍납1동,11710510,322609,548790,"2,165",11,"13,240,000"
광장동,11215810,320933,549784,"7,801",62,"12,210,000"
천호2동,11740610,322911,549384,"4,971",75,"16,970,000"
번1동,11305595,314484,559949,"2,396",27,"10,060,000"
수유3동,11305635,313982,560046,"2,619",47,"16,710,000"
쌍문1동,11320660,314249,561078,"1,300",26,6140000
인수동,11305660,312877,560365,"2,252",32,"10,020,000"
창3동,11320513,315723,559958,918,18,9460000
우이동,11305645,312997,561079,"2,946",38,"25,170,000"
번2동,11305603,315379,559273,763,8,9940000
미아동,11305535,314555,558753,"2,126",35,"14,590,000"
쌍문3동,11320680,314415,561181,"1,611",22,"13,960,000"
삼양동,11305534,313547,558788,"1,272",11,"13,010,000"
창1동,11320511,315817,561101,"2,031",31,"11,450,000"
창2동,11320512,315089,560334,"1,779",23,"10,310,000"
번3동,11305608,316036,558598,988,9,"13,260,000"
수유1동,11305615,313479,559089,"1,436",22,8720000
수유2동,11305625,313701,560707,948,19,5610000
월계2동,11350570,316414,559332,"2,219",13,9650000
등촌1동,11500520,299375,551010,"2,249",63,"19,510,000"
등촌2동,11500530,299675,549544,"1,468",25,9910000
염창동,11500510,300437,550769,"5,428",50,"15,870,000"
등촌3동,11500535,298408,551361,"5,039",53,"16,530,000"
우장산동,11500615,297856,550192,"3,020",41,"10,960,000"
목2동,11470520,300492,549921,"2,739",39,"12,230,000"
공항동,11500620,295072,551391,"9,293",62,8080000
화곡6동,11500591,298589,550574,"3,148",44,"15,040,000"
목3동,11470530,299848,549773,"1,687",33,"12,750,000"
화곡3동,11500560,297546,549556,"1,440",39,"11,560,000"
가양3동,11500605,299528,551592,"2,629",6,"13,830,000"
발산1동,11500611,297098,550737,"6,907",121,"17,230,000"
화곡본동,11500590,298365,549715,"1,480",19,"12,660,000"
성수1가1동,11200650,316216,549291,"3,848",45,"18,400,000"
송정동,11200720,317986,550661,"1,427",11,7250000
자양1동,11215820,319098,548427,"1,546",40,"11,300,000"
구의1동,11215850,319397,549302,"2,280",58,"12,310,000"
구의2동,11215860,319777,549834,"3,741",40,"12,120,000"
성수2가3동,11200690,316714,549974,"4,122",131,"26,270,000"
화양동,11215710,318134,549772,"5,972",136,"12,590,000"
자양4동,11215847,317671,548396,"4,064",64,"10,830,000"
성수1가2동,11200660,316254,549927,"3,244",126,"18,090,000"
성수2가1동,11200670,316596,549011,"2,732",63,"29,360,000"
자양3동,11215840,318258,548361,"3,860",55,"20,860,000"
능동,11215780,318956,550566,"3,310",29,"21,780,000"
응봉동,11200580,314789,550539,"2,576",6,"20,370,000"
군자동,11215730,318546,550725,"4,334",60,"15,280,000"
구로2동,11530530,301454,543825,"6,840",39,"14,010,000"
구로5동,11530560,301991,544793,"5,704",49,8460000
개봉2동,11530750,298988,544022,"2,833",25,"12,130,000"
대림1동,11560700,303458,544261,978,15,"12,750,000"
구로3동,11530540,302062,543376,"4,557",99,"23,450,000"
구로1동,11530520,300783,544023,"2,506",20,"16,180,000"
신길3동,11560650,303628,545573,"1,132",15,4280000
신길6동,11560680,303803,544691,"1,926",25,"14,620,000"
대림2동,11560710,302769,543967,"1,810",9,"17,970,000"
고척1동,11530720,299643,544855,"5,178",39,"20,830,000"
개봉3동,11530760,298833,543265,"1,422",27,"10,440,000"
신길5동,11560670,303397,544947,790,9,"12,900,000"
신도림동,11530510,301228,545654,"7,049",57,"19,630,000"
구로4동,11530550,301963,543847,"2,344",34,"12,590,000"
신대방1동,11590670,303807,543533,"1,738",21,"15,850,000"
고척2동,11530730,299282,545557,"2,276",21,9680000
대림3동,11560720,302757,544586,"2,358",38,"14,010,000"
시흥5동,11545710,303607,539479,"1,139",13,5440000
독산2동,11545620,303194,540677,"1,900",23,9640000
난향동,11620715,304546,540481,"2,729",8,6420000
시흥1동,11545670,303161,539612,"5,240",57,"11,400,000"
독산4동,11545640,303086,541167,"1,258",21,"11,180,000"
시흥4동,11545700,303427,540212,656,12,"11,400,000"
시흥2동,11545680,304177,539166,"3,329",9,"16,910,000"
창5동,11320515,315816,561982,"2,486",35,"14,620,000"
상계6.7동,11350695,317866,561801,"5,246",34,"18,580,000"
상계9동,11350710,317600,562873,"3,294",9,"13,080,000"
상계10동,11350720,317282,562517,"2,373",6,"13,730,000"
상계5동,11350670,318088,562697,"2,487",15,"15,720,000"
중계본동,11350619,319035,561003,"1,615",39,"10,810,000"
쌍문4동,11320681,314466,562011,600,10,"19,590,000"
상계2동,11350640,317949,562088,"3,154",67,"13,670,000"
창4동,11320514,316503,561521,"4,765",21,"16,340,000"
쌍문2동,11320670,315388,562165,"1,170",35,"13,670,000"
방학1동,11320690,315556,562861,"3,491",44,"16,290,000"
방학3동,11320710,314435,562312,"1,096",16,"19,860,000"
중계1동,11350621,318792,561532,"1,743",30,"22,600,000"
